filename	onset	offset	event_label
Y-07O11QVLxo_100.000_110.000.wav	3.11	3.89	Alarm_bell_ringing
Y-07O11QVLxo_100.000_110.000.wav	9.55	9.85	Alarm_bell_ringing
Y-1XUnm0C3nc_30.000_40.000.wav	1.21	1.65	Alarm_bell_ringing
Y-1XUnm0C3nc_30.000_40.000.wav	3.29	3.59	Alarm_bell_ringing
Y-1XUnm0C3nc_30.000_40.000.wav	4.69	5.41	Alarm_bell_ringing
Y-3E36nmSffc_16.000_26.000.wav	3.83	4.77	Alarm_bell_ringing
Y-3E36nmSffc_16.000_26.000.wav	5.77	6.67	Alarm_bell_ringing
Y-3E36nmSffc_16.000_26.000.wav	7.09	7.71	Alarm_bell_ringing
Y-3E36nmSffc_16.000_26.000.wav	7.95	9.09	Alarm_bell_ringing
Y-3vj597JFFE_30.000_40.000.wav	0.29	0.93	Alarm_bell_ringing
Y-3vj597JFFE_30.000_40.000.wav	2.83	3.81	Alarm_bell_ringing
Y-3vj597JFFE_30.000_40.000.wav	4.75	8.17	Alarm_bell_ringing
Y-3vj597JFFE_30.000_40.000.wav	8.81	9.85	Alarm_bell_ringing
Y-42Z-sMh4Qk_110.000_120.000.wav	1.41	2.37	Alarm_bell_ringing
Y-42Z-sMh4Qk_110.000_120.000.wav	2.83	3.27	Alarm_bell_ringing
Y-5xNaSrvNlw_40.000_50.000.wav	0.05	5.23	Alarm_bell_ringing
Y-5xNaSrvNlw_40.000_50.000.wav	5.89	9.83	Alarm_bell_ringing
Y-6axSq5UpRU_30.000_40.000.wav	9.47	9.77	Alarm_bell_ringing
Y-72belLBy5Q_420.000_430.000.wav	0.03	0.39	Alarm_bell_ringing
Y-72belLBy5Q_420.000_430.000.wav	2.03	3.07	Alarm_bell_ringing
Y-72belLBy5Q_420.000_430.000.wav	5.13	6.07	Alarm_bell_ringing
Y-72belLBy5Q_420.000_430.000.wav	8.59	9.33	Alarm_bell_ringing
