filename	onset	offset	event_label
Y-6n82E5zyuY_70.000_80.000.wav	0.05	2.83	Alarm_bell_ringing
Y-6n82E5zyuY_70.000_80.000.wav	8.27	9.39	Alarm_bell_ringing
Y-6p32k2WUCs_0.000_10.000.wav	0.43	9.97	Alarm_bell_ringing
Y-7T1vQ2CgdQ_10.000_20.000.wav	0.89	1.85	Alarm_bell_ringing
Y-7T1vQ2CgdQ_10.000_20.000.wav	2.41	2.87	Alarm_bell_ringing
Y-7T1vQ2CgdQ_10.000_20.000.wav	3.15	3.85	Alarm_bell_ringing
Y-7T1vQ2CgdQ_10.000_20.000.wav	6.43	7.35	Alarm_bell_ringing
Y-Jnns0s8q2g_22.000_32.000.wav	0.05	2.05	Alarm_bell_ringing
Y-Jnns0s8q2g_22.000_32.000.wav	2.71	3.15	Alarm_bell_ringing
Y-Jnns0s8q2g_22.000_32.000.wav	6.11	6.51	Alarm_bell_ringing
Y-Jnns0s8q2g_22.000_32.000.wav	6.81	7.43	Alarm_bell_ringing
Y-ZgUXgJn4U0_0.000_10.000.wav	4.19	5.17	Alarm_bell_ringing
Y-ZgUXgJn4U0_0.000_10.000.wav	6.55	7.55	Alarm_bell_ringing
Y-ZgUXgJn4U0_0.000_10.000.wav	8.95	9.57	Alarm_bell_ringing
Y-Zjgm_sZd10_0.000_4.000.wav	0.63	2.17	Alarm_bell_ringing
Y-ikrSfqB0LU_0.000_3.000.wav	0.55	1.69	Alarm_bell_ringing
Y-ikrSfqB0LU_0.000_3.000.wav	2.27	2.49	Alarm_bell_ringing
Y-kJT_nUHinA_50.000_60.000.wav	0.03	7.77	Alarm_bell_ringing
Y-pP61DogSPY_30.000_40.000.wav	0.05	3.55	Alarm_bell_ringing
Y-pP61DogSPY_30.000_40.000.wav	4.25	7.33	Alarm_bell_ringing
Y0F1zmrJb1tI_30.000_40.000.wav	0.03	2.91	Alarm_bell_ringing
Y0FS8b5CAMp8_150.000_160.000.wav	2.55	2.97	Alarm_bell_ringing
Y0FS8b5CAMp8_150.000_160.000.wav	3.59	3.79	Alarm_bell_ringing
Y0FS8b5CAMp8_150.000_160.000.wav	4.57	4.79	Alarm_bell_ringing
Y0IkRggWmlfo_0.000_10.000.wav	5.09	6.25	Alarm_bell_ringing
Y0j1-0Y6lGck_120.000_130.000.wav	0.05	8.67	Alarm_bell_ringing
Y17cA4Gv1BZY_220.000_230.000.wav	5.81	9.95	Alarm_bell_ringing
Y1Iv2NfqIrS4_21.000_31.000.wav	0.35	1.41	Alarm_bell_ringing
Y1Iv2NfqIrS4_21.000_31.000.wav	2.89	4.93	Alarm_bell_ringing
Y1bmyWAIQ8kU_60.000_70.000.wav	2.39	9.97	Alarm_bell_ringing
Y20ARmYU0v4I_10.000_20.000.wav	0.33	4.97	Alarm_bell_ringing
Y20ARmYU0v4I_10.000_20.000.wav	6.39	9.97	Alarm_bell_ringing
Y26ubekDhG_Y_0.000_10.000.wav	0.27	2.95	Alarm_bell_ringing
Y26ubekDhG_Y_0.000_10.000.wav	5.29	7.97	Alarm_bell_ringing
Y2GQHZpe5yjA_50.000_60.000.wav	0.05	9.95	Alarm_bell_ringing
Y2Lr0D12vRyc_20.000_30.000.wav	0.15	6.07	Alarm_bell_ringing
Y2Lr0D12vRyc_20.000_30.000.wav	6.81	6.97	Alarm_bell_ringing
Y2Lr0D12vRyc_20.000_30.000.wav	7.31	7.95	Alarm_bell_ringing
Y2MXgZDIhMBE_140.000_150.000.wav	0.07	6.37	Alarm_bell_ringing
